section,label,group,metric,mean,pct,ci95_low,ci95_high,abs_delta,rel_pct
version,V1,pypdf_no_rerank,faithfulness,0.5454,54.54,0.4433,0.6521,,
version,V1,pypdf_no_rerank,answer_relevancy,0.6014,60.14,0.5721,0.63,,
version,V1,pypdf_no_rerank,context_precision,0.4367,43.67,0.3117,0.555,,
version,V1,pypdf_no_rerank,context_recall,0.5,50.0,0.36,0.62,,
version,V2,pypdf_with_rerank,faithfulness,0.6203,62.03,0.5039,0.7244,,
version,V2,pypdf_with_rerank,answer_relevancy,0.6063,60.63,0.5795,0.6336,,
version,V2,pypdf_with_rerank,context_precision,0.54,54.0,0.4033,0.6667,,
version,V2,pypdf_with_rerank,context_recall,0.57,57.0,0.43,0.69,,
version,V3,docling_with_rerank,faithfulness,0.7389,73.89,0.6505,0.8193,,
version,V3,docling_with_rerank,answer_relevancy,0.6038,60.38,0.5725,0.6336,,
version,V3,docling_with_rerank,context_precision,0.465,46.5,0.3333,0.5867,,
version,V3,docling_with_rerank,context_recall,0.51,51.0,0.37,0.63,,
group,pypdf_no_rerank,pypdf_no_rerank,faithfulness,0.5454,54.54,0.4433,0.6521,,
group,pypdf_no_rerank,pypdf_no_rerank,answer_relevancy,0.6014,60.14,0.5721,0.63,,
group,pypdf_no_rerank,pypdf_no_rerank,context_precision,0.4367,43.67,0.3117,0.555,,
group,pypdf_no_rerank,pypdf_no_rerank,context_recall,0.5,50.0,0.36,0.62,,
group,pypdf_with_rerank,pypdf_with_rerank,faithfulness,0.6203,62.03,0.5039,0.7244,,
group,pypdf_with_rerank,pypdf_with_rerank,answer_relevancy,0.6063,60.63,0.5795,0.6336,,
group,pypdf_with_rerank,pypdf_with_rerank,context_precision,0.54,54.0,0.4033,0.6667,,
group,pypdf_with_rerank,pypdf_with_rerank,context_recall,0.57,57.0,0.43,0.69,,
group,docling_no_rerank,docling_no_rerank,faithfulness,0.5594,55.94,0.445,0.6761,,
group,docling_no_rerank,docling_no_rerank,answer_relevancy,0.6051,60.51,0.5773,0.6328,,
group,docling_no_rerank,docling_no_rerank,context_precision,0.4267,42.67,0.3,0.5433,,
group,docling_no_rerank,docling_no_rerank,context_recall,0.52,52.0,0.38,0.64,,
group,docling_with_rerank,docling_with_rerank,faithfulness,0.7389,73.89,0.6505,0.8193,,
group,docling_with_rerank,docling_with_rerank,answer_relevancy,0.6038,60.38,0.5725,0.6336,,
group,docling_with_rerank,docling_with_rerank,context_precision,0.465,46.5,0.3333,0.5867,,
group,docling_with_rerank,docling_with_rerank,context_recall,0.51,51.0,0.37,0.63,,
comparison,rerank_gain_on_pypdf,,faithfulness,,,,,0.0749,13.73
comparison,rerank_gain_on_pypdf,,answer_relevancy,,,,,0.0049,0.81
comparison,rerank_gain_on_pypdf,,context_precision,,,,,0.1033,23.65
comparison,rerank_gain_on_pypdf,,context_recall,,,,,0.07,14.0
comparison,rerank_gain_on_docling,,faithfulness,,,,,0.1795,32.09
comparison,rerank_gain_on_docling,,answer_relevancy,,,,,-0.0013,-0.21
comparison,rerank_gain_on_docling,,context_precision,,,,,0.0383,8.98
comparison,rerank_gain_on_docling,,context_recall,,,,,-0.01,-1.92
comparison,docling_gain_without_rerank,,faithfulness,,,,,0.014,2.57
comparison,docling_gain_without_rerank,,answer_relevancy,,,,,0.0037,0.62
comparison,docling_gain_without_rerank,,context_precision,,,,,-0.01,-2.29
comparison,docling_gain_without_rerank,,context_recall,,,,,0.02,4.0
comparison,docling_gain_with_rerank,,faithfulness,,,,,0.1186,19.12
comparison,docling_gain_with_rerank,,answer_relevancy,,,,,-0.0025,-0.41
comparison,docling_gain_with_rerank,,context_precision,,,,,-0.075,-13.89
comparison,docling_gain_with_rerank,,context_recall,,,,,-0.06,-10.53
comparison,overall_best_vs_baseline,,faithfulness,,,,,0.1935,35.48
comparison,overall_best_vs_baseline,,answer_relevancy,,,,,0.0024,0.4
comparison,overall_best_vs_baseline,,context_precision,,,,,0.0283,6.48
comparison,overall_best_vs_baseline,,context_recall,,,,,0.01,2.0
